Species,viral_relative_abundance_reads_per_100million,Paired_reads
Rainbow_skink,2621.268455,53752602
Rainbow_skink,1423.168127,45532217
Copper_skink,33528.98433,52617162
Copper_skink,0,36310491
Copper_skink,2143.791246,63205781
Moko_skink,0,47925482
Moko_skink,272.1265294,44464610
Ornate_skink,8.561456737,46721021
Suters_skink,12323.79366,45375638
Kapitia_skink,0,52746732
Northern_spotted_skink,1032.338499,72112006
Common_gecko,0,45464194
Common_gecko,0,58502859
Common_gecko,0,64580948
Common_gecko,4.59693119,65260929
Pacific_gecko,0,44153016
